"quarter","molecule","product_type","brand","suffix","company","is_sb","is_orig","hcpcs_code","desc","payment_limit","addon_pct","ira_qualifying","asp_per_unit","asp","notes"
"2024 Q4 (Oct)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","77.94","6","False","73.528302","3088.19",""
"2025 Q1 (Jan)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","77.051","6","False","72.689623","3052.96",""
"2025 Q3 (Jul)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","76.181","6","False","71.868868","3018.49",""
"2025 Q4 (Oct)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","75.025","6","False","70.778302","2972.69",""
"2026 Q1 (Jan)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","73.483","6","False","69.323585","2911.59",""
"2026 Q2 (Apr)","Trastuzumab","Originator","Herceptin","J9355","Genentech (Roche)","False","True","J9355","Inj trastuzumab excl biosimi","73.425","6","False","69.268868","2909.29",""
"2021 Q1 (Jan)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","88.166","8","True","80.581623","3384.43",""
"2021 Q2 (Apr)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","80.164","8","True","73.093736","3069.94",""
"2021 Q3 (Jul)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","72.075","8","True","65.208887","2738.77",""
"2021 Q4 (Oct)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","66.55","8","True","59.771811","2510.42",""
"2022 Q1 (Jan)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","61.105","8","True","54.583491","2292.51",""
"2022 Q2 (Apr)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","76.886","8","True","70.199434","2948.38",""
"2022 Q3 (Jul)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","68.497","8","True","61.960623","2602.35",""
"2022 Q4 (Oct)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","63.12","8","True","56.750113","2383.5","8% of reference add-on applied"
"2023 Q1 (Jan)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","58.343","8","True","52.098245","2188.13","8% of reference add-on applied"
"2023 Q2 (Apr)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","49.853","8","True","43.796472","1839.45","8% of reference add-on applied"
"2023 Q3 (Jul)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","46.927","8","True","40.80783","1713.93","8% of reference add-on applied"
"2023 Q4 (Oct)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","41.651","8","True","35.554019","1493.27","8% of reference add-on applied"
"2024 Q1 (Jan)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","38.936","8","True","32.86317","1380.25","8% of reference add-on applied"
"2024 Q2 (Apr)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","34.057","8","True","28.015642","1176.66","8% of reference add-on applied"
"2024 Q3 (Jul)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","32.455","8","True","26.562019","1115.6","8% of reference add-on applied"
"2024 Q4 (Oct)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","34.165","8","True","28.282736","1187.87","8% of reference add-on applied"
"2025 Q1 (Jan)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","26.369","8","True","20.55383","863.26","8% of reference add-on applied"
"2025 Q3 (Jul)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","21.985","8","True","16.235491","681.89","8% of reference add-on applied"
"2025 Q4 (Oct)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","19.001","8","True","13.338736","560.23","8% of reference add-on applied"
"2026 Q1 (Jan)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","27.272","8","True","21.726113","912.5","8% of reference add-on applied"
"2026 Q2 (Apr)","Trastuzumab","Biosimilar","Ontruzant","trastuzumab-dttb","Samsung Bioepis","True","False","Q5112","Inj ontruzant 10 mg","29.808","8","True","24.266491","1019.19","8% of reference add-on applied"
"2021 Q1 (Jan)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","86.425","8","True","78.840623","3311.31",""
"2021 Q2 (Apr)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","81.994","8","True","74.923736","3146.8",""
"2021 Q3 (Jul)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","66.762","8","True","59.895887","2515.63",""
"2021 Q4 (Oct)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","57.303","8","True","50.524811","2122.04",""
"2022 Q1 (Jan)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","48.496","8","True","41.974491","1762.93",""
"2022 Q2 (Apr)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","52.588","8","True","45.901434","1927.86",""
"2022 Q3 (Jul)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","42.955","8","True","36.418623","1529.58",""
"2022 Q4 (Oct)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","52.971","8","True","46.601113","1957.25","8% of reference add-on applied"
"2023 Q1 (Jan)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","36.399","8","True","30.154245","1266.48","8% of reference add-on applied"
"2023 Q2 (Apr)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","29.526","8","True","23.469472","985.72","8% of reference add-on applied"
"2023 Q3 (Jul)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","29.87","8","True","23.75083","997.53","8% of reference add-on applied"
"2023 Q4 (Oct)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","20.183","8","True","14.086019","591.61","8% of reference add-on applied"
"2024 Q1 (Jan)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","40.307","8","True","34.23417","1437.84","8% of reference add-on applied"
"2024 Q2 (Apr)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","55.797","8","True","49.755642","2089.74","8% of reference add-on applied"
"2024 Q3 (Jul)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","62.632","8","True","56.739019","2383.04","8% of reference add-on applied"
"2024 Q4 (Oct)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","60.437","8","True","54.554736","2291.3","8% of reference add-on applied"
"2025 Q1 (Jan)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","71.978","8","True","66.16283","2778.84","8% of reference add-on applied"
"2025 Q3 (Jul)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","77.492","6","False","73.179868","3073.55","8% of reference add-on applied"
"2025 Q4 (Oct)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","69.368","8","True","63.705736","2675.64","8% of reference add-on applied"
"2026 Q1 (Jan)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","55.431","8","True","49.885113","2095.17","8% of reference add-on applied"
"2026 Q2 (Apr)","Trastuzumab","Biosimilar","Herzuma","trastuzumab-pkrb","Celltrion/Teva","False","False","Q5113","Inj herzuma 10 mg","56.019","8","True","50.477491","2120.05","8% of reference add-on applied"
"2021 Q1 (Jan)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","73.209","8","True","65.624623","2756.23","Updated July 2021"
"2021 Q2 (Apr)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","60.655","8","True","53.584736","2250.56",""
"2021 Q3 (Jul)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","63.4","8","True","56.533887","2374.42",""
"2021 Q4 (Oct)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","59.906","8","True","53.127811","2231.37",""
"2022 Q1 (Jan)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","55.715","8","True","49.193491","2066.13",""
"2022 Q2 (Apr)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","50.111","8","True","43.424434","1823.83",""
"2022 Q3 (Jul)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","47.886","8","True","41.349623","1736.68","Updated October 2022"
"2022 Q4 (Oct)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","45.318","8","True","38.948113","1635.82","8% of reference add-on applied"
"2023 Q1 (Jan)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","42.597","8","True","36.352245","1526.79","8% of reference add-on applied"
"2023 Q2 (Apr)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","47.132","8","True","41.075472","1725.17","8% of reference add-on applied"
"2023 Q3 (Jul)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","40.405","8","True","34.28583","1440.0","8% of reference add-on applied"
"2023 Q4 (Oct)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","40.04","8","True","33.943019","1425.61","8% of reference add-on applied"
"2024 Q1 (Jan)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","44.428","8","True","38.35517","1610.92","8% of reference add-on applied"
"2024 Q2 (Apr)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","62.618","8","True","56.576642","2376.22","8% of reference add-on applied"
"2024 Q3 (Jul)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","55.784","8","True","49.891019","2095.42","8% of reference add-on applied"
"2024 Q4 (Oct)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","54.158","8","True","48.275736","2027.58","8% of reference add-on applied"
"2025 Q1 (Jan)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","51.84","8","True","46.02483","1933.04","8% of reference add-on applied"
"2025 Q3 (Jul)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","44.59","8","True","38.840491","1631.3","8% of reference add-on applied"
"2025 Q4 (Oct)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","40.294","8","True","34.631736","1454.53","8% of reference add-on applied"
"2026 Q1 (Jan)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","37.709","8","True","32.163113","1350.85","8% of reference add-on applied"
"2026 Q2 (Apr)","Trastuzumab","Biosimilar","Ogivri","trastuzumab-dkst","Viatris","False","False","Q5114","Inj ogivri 10 mg","35.783","8","True","30.241491","1270.14","8% of reference add-on applied"
"2021 Q1 (Jan)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","74.168","8","True","66.583623","2796.51","Updated July 2021"
"2021 Q2 (Apr)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","68.107","8","True","61.036736","2563.54",""
"2021 Q3 (Jul)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","64.788","8","True","57.921887","2432.72",""
"2021 Q4 (Oct)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","59.931","8","True","53.152811","2232.42",""
"2022 Q1 (Jan)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","55.787","8","True","49.265491","2069.15",""
"2022 Q2 (Apr)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","51.016","8","True","44.329434","1861.84",""
"2022 Q3 (Jul)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","45.48","8","True","38.943623","1635.63",""
"2022 Q4 (Oct)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","40.006","8","True","33.636113","1412.72","8% of reference add-on applied"
"2023 Q1 (Jan)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","31.936","8","True","25.691245","1079.03","Updated January 2024 - 8% of reference add-on applied"
"2023 Q2 (Apr)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","24.978","8","True","18.921472","794.7","Updated January 2024 - 8% of reference add-on applied"
"2023 Q3 (Jul)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","21.928","8","True","15.80883","663.97","Updated January 2024 - 8% of reference add-on applied"
"2023 Q4 (Oct)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","19.622","8","True","13.525019","568.05","8% of reference add-on applied"
"2024 Q1 (Jan)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","16.367","8","True","10.29417","432.36","8% of reference add-on applied"
"2024 Q2 (Apr)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","12.765","8","True","6.723642","282.39","8% of reference add-on applied"
"2024 Q3 (Jul)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","12.644","8","True","6.751019","283.54","8% of reference add-on applied"
"2024 Q4 (Oct)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","19.17","8","True","13.287736","558.08","8% of reference add-on applied"
"2025 Q1 (Jan)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","18.969","8","True","13.15383","552.46","8% of reference add-on applied"
"2025 Q3 (Jul)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","28.616","8","True","22.866491","960.39","8% of reference add-on applied"
"2025 Q4 (Oct)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","27.991","8","True","22.328736","937.81","8% of reference add-on applied"
"2026 Q1 (Jan)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","8.205","8","True","2.659113","111.68","8% of reference add-on applied"
"2026 Q2 (Apr)","Trastuzumab","Biosimilar","Trazimera","trastuzumab-qyyp","Pfizer","False","False","Q5116","Inj., trazimera, 10 mg","10.425","8","True","4.883491","205.11","8% of reference add-on applied"
"2021 Q1 (Jan)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","72.499","8","True","64.914623","2726.41",""
"2021 Q2 (Apr)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","66.29","8","True","59.219736","2487.23",""
"2021 Q3 (Jul)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","59.34","8","True","52.473887","2203.9",""
"2021 Q4 (Oct)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","53.183","8","True","46.404811","1949.0",""
"2022 Q1 (Jan)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","47.409","8","True","40.887491","1717.27",""
"2022 Q2 (Apr)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","42.882","8","True","36.195434","1520.21",""
"2022 Q3 (Jul)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","38.491","8","True","31.954623","1342.09",""
"2022 Q4 (Oct)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","32.699","8","True","26.329113","1105.82","8% of reference add-on applied"
"2023 Q1 (Jan)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","33.373","8","True","27.128245","1139.39","8% of reference add-on applied"
"2023 Q2 (Apr)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","25.926","8","True","19.869472","834.52","8% of reference add-on applied"
"2023 Q3 (Jul)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","23.96","8","True","17.84083","749.31","8% of reference add-on applied"
"2023 Q4 (Oct)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","24.341","8","True","18.244019","766.25","8% of reference add-on applied"
"2024 Q1 (Jan)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","13.45","8","True","7.37717","309.84","8% of reference add-on applied"
"2024 Q2 (Apr)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","17.681","8","True","11.639642","488.86","8% of reference add-on applied"
"2024 Q3 (Jul)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","19.339","8","True","13.446019","564.73","8% of reference add-on applied"
"2024 Q4 (Oct)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","24.332","8","True","18.449736","774.89","8% of reference add-on applied"
"2025 Q1 (Jan)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","34.688","8","True","28.87283","1212.66","8% of reference add-on applied"
"2025 Q3 (Jul)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","43.275","8","True","37.525491","1576.07","8% of reference add-on applied"
"2025 Q4 (Oct)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","47.547","8","True","41.884736","1759.16","8% of reference add-on applied"
"2026 Q1 (Jan)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","51.439","8","True","45.893113","1927.51","8% of reference add-on applied"
"2026 Q2 (Apr)","Trastuzumab","Biosimilar","Kanjinti","trastuzumab-anns","Amgen","False","False","Q5117","Inj., kanjinti, 10 mg","56.379","8","True","50.837491","2135.17","8% of reference add-on applied"
"2025 Q3 (Jul)","Trastuzumab","Biosimilar","Hercessi","trastuzumab-strf","Accord/Intas","False","False","Q5146","Inj, hercessi, 10 mg","76.181","8","True","70.431491","2958.12","Added July 2025"
"2025 Q4 (Oct)","Trastuzumab","Biosimilar","Hercessi","trastuzumab-strf","Accord/Intas","False","False","Q5146","Inj, hercessi, 10 mg","40.025","8","True","34.362736","1443.23","8% of reference add-on applied"
"2026 Q1 (Jan)","Trastuzumab","Biosimilar","Hercessi","trastuzumab-strf","Accord/Intas","False","False","Q5146","Inj, hercessi, 10 mg","37.151","8","True","31.605113","1327.41","8% of reference add-on applied"
"2026 Q2 (Apr)","Trastuzumab","Biosimilar","Hercessi","trastuzumab-strf","Accord/Intas","False","False","Q5146","Inj, hercessi, 10 mg","37.865","8","True","32.323491","1357.59","8% of reference add-on applied"
"2021 Q1 (Jan)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","20.107","6","False","18.968868","2276.26",""
"2021 Q2 (Apr)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","20.094","6","False","18.956604","2274.79",""
"2021 Q3 (Jul)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","20.972","6","False","19.784906","2374.19",""
"2021 Q4 (Oct)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","21.189","6","False","19.989623","2398.75",""
"2022 Q1 (Jan)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","21.205","6","False","20.004717","2400.57",""
"2022 Q2 (Apr)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","21.26","6","False","20.056604","2406.79",""
"2022 Q3 (Jul)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","22.255","6","False","20.995283","2519.43",""
"2022 Q4 (Oct)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","22.51","6","False","21.235849","2548.3",""
"2023 Q1 (Jan)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","23.067","6","False","21.761321","2611.36",""
"2023 Q2 (Apr)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","23.018","6","False","21.715094","2605.81",""
"2023 Q3 (Jul)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","24.192","6","False","22.822642","2738.72","Inflation-adjusted coinsurance"
"2023 Q4 (Oct)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","24.217","6","False","22.846226","2741.55",""
"2024 Q1 (Jan)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","25.198","6","False","23.771698","2852.6","Inflation-adjusted coinsurance"
"2024 Q2 (Apr)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","25.189","6","False","23.763208","2851.58","Inflation-adjusted coinsurance"
"2024 Q3 (Jul)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","26.749","6","False","25.234906","3028.19","Inflation-adjusted coinsurance"
"2024 Q4 (Oct)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","26.96","6","False","25.433962","3052.08","Inflation-adjusted coinsurance"
"2025 Q1 (Jan)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","27.656","6","False","26.090566","3130.87","Inflation-adjusted coinsurance"
"2025 Q3 (Jul)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","29.237","6","False","27.582075","3309.85","Inflation-adjusted coinsurance"
"2025 Q4 (Oct)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","29.38","6","False","27.716981","3326.04","Inflation-adjusted coinsurance"
"2026 Q1 (Jan)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","29.457","6","False","27.789623","3334.75","Inflation-adjusted coinsurance"
"2026 Q2 (Apr)","Denosumab","Originator","Prolia / Xgeva","J0897","Amgen","False","True","J0897","Denosumab injection","29.507","6","False","27.836792","3340.42","Inflation-adjusted coinsurance"
"2026 Q1 (Jan)","Denosumab","Biosimilar","Jubbonti/Wyost","denosumab-bbdz","Sandoz","False","False","Q5136","Inj. denosumab-bbdz, 1 mg","28.23","8","True","26.00683","3120.82","Added January 2026 - 8% of reference add-on applied"
